idna_subject,checker_type,destination,source,tested_at,session_id
0.bigclicker.me,AVAILABILITY,domains.list,domains.list,2021-03-25 01:32:55.674735,5a9dc91bf548fb609d43a038
1.bigclicker.me,AVAILABILITY,domains.list,domains.list,2021-03-25 01:32:56.251582,5a9dc91bf548fb609d43a038
1phads.com,AVAILABILITY,domains.list,domains.list,2021-03-25 01:32:56.712303,5a9dc91bf548fb609d43a038
1rx.io,AVAILABILITY,domains.list,domains.list,2021-03-25 01:32:57.174993,5a9dc91bf548fb609d43a038
1ts06.top,AVAILABILITY,domains.list,domains.list,2021-03-25 01:32:57.640315,5a9dc91bf548fb609d43a038
1x1.a-mo.net,AVAILABILITY,domains.list,domains.list,2021-03-25 01:32:58.166924,5a9dc91bf548fb609d43a038
1x1.myfastcdn.com,AVAILABILITY,domains.list,domains.list,2021-03-25 01:32:58.810510,5a9dc91bf548fb609d43a038
2.afs.googleadservices.com,AVAILABILITY,domains.list,domains.list,2021-03-25 01:32:59.313381,5a9dc91bf548fb609d43a038
2.bigclicker.me,AVAILABILITY,domains.list,domains.list,2021-03-25 01:32:59.952955,5a9dc91bf548fb609d43a038
2leep.com,AVAILABILITY,domains.list,domains.list,2021-03-25 01:33:01.414028,5a9dc91bf548fb609d43a038
2mdnsys.com,AVAILABILITY,domains.list,domains.list,2021-03-25 01:33:01.884896,5a9dc91bf548fb609d43a038
2o7.net,AVAILABILITY,domains.list,domains.list,2021-03-25 01:33:02.356231,5a9dc91bf548fb609d43a038
3.bigclicker.me,AVAILABILITY,domains.list,domains.list,2021-03-25 01:33:03.068369,5a9dc91bf548fb609d43a038
3lift.com,AVAILABILITY,domains.list,domains.list,2021-03-25 01:33:03.537944,5a9dc91bf548fb609d43a038
3x2.myfastcdn.com,AVAILABILITY,domains.list,domains.list,2021-03-25 01:33:04.012462,5a9dc91bf548fb609d43a038
4.adsco.re,AVAILABILITY,domains.list,domains.list,2021-03-25 01:33:04.482080,5a9dc91bf548fb609d43a038
4.afs.googleadservices.com,AVAILABILITY,domains.list,domains.list,2021-03-25 01:33:05.008952,5a9dc91bf548fb609d43a038
4.bigclicker.me,AVAILABILITY,domains.list,domains.list,2021-03-25 01:33:05.552109,5a9dc91bf548fb609d43a038
4d5.net,AVAILABILITY,domains.list,domains.list,2021-03-25 01:33:06.017741,5a9dc91bf548fb609d43a038
4dsply.com,AVAILABILITY,domains.list,domains.list,2021-03-25 01:33:06.482024,5a9dc91bf548fb609d43a038
4info.com,AVAILABILITY,domains.list,domains.list,2021-03-25 01:33:06.945715,5a9dc91bf548fb609d43a038
4mads.com,AVAILABILITY,domains.list,domains.list,2021-03-25 01:33:07.410776,5a9dc91bf548fb609d43a038
4q.iperceptions.com,AVAILABILITY,domains.list,domains.list,2021-03-25 01:33:08.035970,5a9dc91bf548fb609d43a038
4qinvite.4q.iperceptions.com,AVAILABILITY,domains.list,domains.list,2021-03-25 01:33:08.620952,5a9dc91bf548fb609d43a038
4wnet.com,AVAILABILITY,domains.list,domains.list,2021-03-25 01:33:09.084023,5a9dc91bf548fb609d43a038
4x3.myfastcdn.com,AVAILABILITY,domains.list,domains.list,2021-03-25 01:33:09.592755,5a9dc91bf548fb609d43a038
5.bigclicker.me,AVAILABILITY,domains.list,domains.list,2021-03-25 01:33:10.370366,5a9dc91bf548fb609d43a038
5advertise.com,AVAILABILITY,domains.list,domains.list,2021-03-25 01:33:10.841787,5a9dc91bf548fb609d43a038
6.adsco.re,AVAILABILITY,domains.list,domains.list,2021-03-25 01:33:11.335063,5a9dc91bf548fb609d43a038
6.bigclicker.me,AVAILABILITY,domains.list,domains.list,2021-03-25 01:33:12.149809,5a9dc91bf548fb609d43a038
7.bigclicker.me,AVAILABILITY,domains.list,domains.list,2021-03-25 01:33:12.648332,5a9dc91bf548fb609d43a038
8.bigclicker.me,AVAILABILITY,domains.list,domains.list,2021-03-25 01:33:13.422389,5a9dc91bf548fb609d43a038
9.bigclicker.me,AVAILABILITY,domains.list,domains.list,2021-03-25 01:33:14.090368,5a9dc91bf548fb609d43a038
10.afs.googleadservices.com,AVAILABILITY,domains.list,domains.list,2021-03-25 01:33:14.570303,5a9dc91bf548fb609d43a038
10.bigclicker.me,AVAILABILITY,domains.list,domains.list,2021-03-25 01:33:15.203859,5a9dc91bf548fb609d43a038
1-1ads.com,AVAILABILITY,domains.list,domains.list,2021-03-25 01:33:15.666815,5a9dc91bf548fb609d43a038
16x9.myfastcdn.com,AVAILABILITY,domains.list,domains.list,2021-03-25 01:33:16.136689,5a9dc91bf548fb609d43a038
18.afs.googleadservices.com,AVAILABILITY,domains.list,domains.list,2021-03-25 01:33:16.622893,5a9dc91bf548fb609d43a038
24h-ad.24hstatic.com,AVAILABILITY,domains.list,domains.list,2021-03-25 01:33:20.967437,5a9dc91bf548fb609d43a038
24h-ipad-ad.24hstatic.com,AVAILABILITY,domains.list,domains.list,2021-03-25 01:33:24.034139,5a9dc91bf548fb609d43a038
24log.com,AVAILABILITY,domains.list,domains.list,2021-03-25 01:33:24.499478,5a9dc91bf548fb609d43a038
24log.de,AVAILABILITY,domains.list,domains.list,2021-03-25 01:33:25.278829,5a9dc91bf548fb609d43a038
24smi.net,AVAILABILITY,domains.list,domains.list,2021-03-25 01:33:25.749979,5a9dc91bf548fb609d43a038
33across.com,AVAILABILITY,domains.list,domains.list,2021-03-25 01:33:26.223637,5a9dc91bf548fb609d43a038
88.88-f.net,AVAILABILITY,domains.list,domains.list,2021-03-25 01:33:26.836897,5a9dc91bf548fb609d43a038
88-f.net,AVAILABILITY,domains.list,domains.list,2021-03-25 01:33:27.302295,5a9dc91bf548fb609d43a038
152media.com,AVAILABILITY,domains.list,domains.list,2021-03-25 01:33:27.775283,5a9dc91bf548fb609d43a038
152media.info,AVAILABILITY,domains.list,domains.list,2021-03-25 01:33:28.248238,5a9dc91bf548fb609d43a038
207.net,AVAILABILITY,domains.list,domains.list,2021-03-25 01:33:28.709436,5a9dc91bf548fb609d43a038
240.zaloapp.ads.zdn.vn,AVAILABILITY,domains.list,domains.list,2021-03-25 01:33:30.181969,5a9dc91bf548fb609d43a038
247media.com,AVAILABILITY,domains.list,domains.list,2021-03-25 01:33:31.153656,5a9dc91bf548fb609d43a038
360in.com,AVAILABILITY,domains.list,domains.list,2021-03-25 01:33:32.123935,5a9dc91bf548fb609d43a038
360yield.com,AVAILABILITY,domains.list,domains.list,2021-03-25 01:33:32.586502,5a9dc91bf548fb609d43a038
480.zaloapp.ads.zdn.vn,AVAILABILITY,domains.list,domains.list,2021-03-25 01:33:33.674882,5a9dc91bf548fb609d43a038
520click.com,AVAILABILITY,domains.list,domains.list,2021-03-25 01:33:34.141854,5a9dc91bf548fb609d43a038
999.money,AVAILABILITY,domains.list,domains.list,2021-03-25 01:33:34.614704,5a9dc91bf548fb609d43a038
5734a40f2d.vws.vegacdn.vn,AVAILABILITY,domains.list,domains.list,2021-03-25 01:33:40.721622,5a9dc91bf548fb609d43a038
79423.analytics.edgekey.net,AVAILABILITY,domains.list,domains.list,2021-03-25 01:33:41.198619,5a9dc91bf548fb609d43a038
703531862.vws.vegacdn.vn,AVAILABILITY,domains.list,domains.list,2021-03-25 01:33:43.057239,5a9dc91bf548fb609d43a038
a1.adform.net,AVAILABILITY,domains.list,domains.list,2021-03-25 01:33:43.567784,5a9dc91bf548fb609d43a038
a1.adsplay.xyz,AVAILABILITY,domains.list,domains.list,2021-03-25 01:33:44.259919,5a9dc91bf548fb609d43a038
a1.seadform.net,AVAILABILITY,domains.list,domains.list,2021-03-25 01:33:45.312575,5a9dc91bf548fb609d43a038
a2.adform.net,AVAILABILITY,domains.list,domains.list,2021-03-25 01:33:45.783942,5a9dc91bf548fb609d43a038
a2.chartboost.com,AVAILABILITY,domains.list,domains.list,2021-03-25 01:33:46.943027,5a9dc91bf548fb609d43a038
a2.steelhousemedia.com,AVAILABILITY,domains.list,domains.list,2021-03-25 01:33:48.040534,5a9dc91bf548fb609d43a038
a3.adsplay.xyz,AVAILABILITY,domains.list,domains.list,2021-03-25 01:33:50.334511,5a9dc91bf548fb609d43a038
a3cloud.net,AVAILABILITY,domains.list,domains.list,2021-03-25 01:33:50.797593,5a9dc91bf548fb609d43a038
a4.adsplay.xyz,AVAILABILITY,domains.list,domains.list,2021-03-25 01:33:51.900025,5a9dc91bf548fb609d43a038
a4.tl,AVAILABILITY,domains.list,domains.list,2021-03-25 01:33:52.362928,5a9dc91bf548fb609d43a038
a8.net,AVAILABILITY,domains.list,domains.list,2021-03-25 01:33:53.320895,5a9dc91bf548fb609d43a038
a9.com,AVAILABILITY,domains.list,domains.list,2021-03-25 01:33:53.788737,5a9dc91bf548fb609d43a038
a135.wftv.com,AVAILABILITY,domains.list,domains.list,2021-03-25 01:33:54.630087,5a9dc91bf548fb609d43a038
a2-38-65-20-18.adform.net,AVAILABILITY,domains.list,domains.list,2021-03-25 01:33:55.127233,5a9dc91bf548fb609d43a038
a2-38-65-20-19.adform.net,AVAILABILITY,domains.list,domains.list,2021-03-25 01:33:55.615993,5a9dc91bf548fb609d43a038
a.ad.gt,AVAILABILITY,domains.list,domains.list,2021-03-25 01:33:56.116230,5a9dc91bf548fb609d43a038
a.adk2x.com,AVAILABILITY,domains.list,domains.list,2021-03-25 01:33:58.008357,5a9dc91bf548fb609d43a038
a.adroll.com,AVAILABILITY,domains.list,domains.list,2021-03-25 01:33:58.982319,5a9dc91bf548fb609d43a038
a.ads1.msn.com,AVAILABILITY,domains.list,domains.list,2021-03-25 01:34:01.134000,5a9dc91bf548fb609d43a038
a.ads2.msn.com,AVAILABILITY,domains.list,domains.list,2021-03-25 01:34:01.664198,5a9dc91bf548fb609d43a038
a.adskeeper.co.uk,AVAILABILITY,domains.list,domains.list,2021-03-25 01:34:02.149710,5a9dc91bf548fb609d43a038
a.adspeed.net,AVAILABILITY,domains.list,domains.list,2021-03-25 01:34:02.717533,5a9dc91bf548fb609d43a038
a.adsplay.xyz,AVAILABILITY,domains.list,domains.list,2021-03-25 01:34:03.409249,5a9dc91bf548fb609d43a038
a.adsrvr.org,AVAILABILITY,domains.list,domains.list,2021-03-25 01:34:04.054111,5a9dc91bf548fb609d43a038
a.adtechjp.com,AVAILABILITY,domains.list,domains.list,2021-03-25 01:34:04.542243,5a9dc91bf548fb609d43a038
a.adtechus.com,AVAILABILITY,domains.list,domains.list,2021-03-25 01:34:05.032028,5a9dc91bf548fb609d43a038
a.adtng.com,AVAILABILITY,domains.list,domains.list,2021-03-25 01:34:05.522424,5a9dc91bf548fb609d43a038
a.answers.com,AVAILABILITY,domains.list,domains.list,2021-03-25 01:34:06.104744,5a9dc91bf548fb609d43a038
a.ants.vn,AVAILABILITY,domains.list,domains.list,2021-03-25 01:34:11.125850,5a9dc91bf548fb609d43a038
a.apkpure.com,AVAILABILITY,domains.list,domains.list,2021-03-25 01:34:11.604122,5a9dc91bf548fb609d43a038
a.appbaqend.com,AVAILABILITY,domains.list,domains.list,2021-03-25 01:34:12.074918,5a9dc91bf548fb609d43a038
a.applovin.com,AVAILABILITY,domains.list,domains.list,2021-03-25 01:34:12.550545,5a9dc91bf548fb609d43a038
a.applvn.com,AVAILABILITY,domains.list,domains.list,2021-03-25 01:34:13.036392,5a9dc91bf548fb609d43a038
a.axmtrack.com,AVAILABILITY,domains.list,domains.list,2021-03-25 01:34:13.716277,5a9dc91bf548fb609d43a038
a.axonix.com,AVAILABILITY,domains.list,domains.list,2021-03-25 01:34:14.358443,5a9dc91bf548fb609d43a038
a.bestcontentfood.top,AVAILABILITY,domains.list,domains.list,2021-03-25 01:34:15.002038,5a9dc91bf548fb609d43a038
a.bizible.com,AVAILABILITY,domains.list,domains.list,2021-03-25 01:34:15.565982,5a9dc91bf548fb609d43a038
a.blueserving.com,AVAILABILITY,domains.list,domains.list,2021-03-25 01:34:16.041836,5a9dc91bf548fb609d43a038
a.brand.ad,AVAILABILITY,domains.list,domains.list,2021-03-25 01:34:16.662490,5a9dc91bf548fb609d43a038
a.breaktime.com.tw,AVAILABILITY,domains.list,domains.list,2021-03-25 01:34:17.668945,5a9dc91bf548fb609d43a038
a.c.appier.net,AVAILABILITY,domains.list,domains.list,2021-03-25 01:34:18.143746,5a9dc91bf548fb609d43a038
a.cdp.asia,AVAILABILITY,domains.list,domains.list,2021-03-25 01:34:19.223945,5a9dc91bf548fb609d43a038
a.chartboost.com,AVAILABILITY,domains.list,domains.list,2021-03-25 01:34:20.155983,5a9dc91bf548fb609d43a038
a.clicktripz.com,AVAILABILITY,domains.list,domains.list,2021-03-25 01:34:20.685804,5a9dc91bf548fb609d43a038
a.connatix.com,AVAILABILITY,domains.list,domains.list,2021-03-25 01:34:21.718326,5a9dc91bf548fb609d43a038
a.consumer.net,AVAILABILITY,domains.list,domains.list,2021-03-25 01:34:22.222498,5a9dc91bf548fb609d43a038
a.deepdive.exponential.com,AVAILABILITY,domains.list,domains.list,2021-03-25 01:34:22.913318,5a9dc91bf548fb609d43a038
a.dpmsrv.com,AVAILABILITY,domains.list,domains.list,2021-03-25 01:34:23.425977,5a9dc91bf548fb609d43a038
a.exdynsrv.com,AVAILABILITY,domains.list,domains.list,2021-03-25 01:34:24.096302,5a9dc91bf548fb609d43a038
a.exosrv.com,AVAILABILITY,domains.list,domains.list,2021-03-25 01:34:24.861774,5a9dc91bf548fb609d43a038
a.flashtalking.com,AVAILABILITY,domains.list,domains.list,2021-03-25 01:34:25.460787,5a9dc91bf548fb609d43a038
a.image.accesstrade.net,AVAILABILITY,domains.list,domains.list,2021-03-25 01:34:27.255761,5a9dc91bf548fb609d43a038
a.imonomy.com,AVAILABILITY,domains.list,domains.list,2021-03-25 01:34:27.758443,5a9dc91bf548fb609d43a038
a.ivstracker.net,AVAILABILITY,domains.list,domains.list,2021-03-25 01:34:28.642539,5a9dc91bf548fb609d43a038
a.klaviyo.com,AVAILABILITY,domains.list,domains.list,2021-03-25 01:34:29.194214,5a9dc91bf548fb609d43a038
a.ligatus.com,AVAILABILITY,domains.list,domains.list,2021-03-25 01:34:30.194709,5a9dc91bf548fb609d43a038
